Row,Gene_indx,Cluster,DE_Score
Gpx3,135,1,6.58857524895204
Areg,206,1,5.35343555460709
Tmed3,235,1,4.64228342779629
Krt19,102,1,4.62012676292548
Ly6d,154,1,4.51071075821239
Wfdc2,224,1,4.41769073899498
Glul,311,1,3.89219356749093
Krt7,257,1,3.81011883592481
Prlr,395,1,3.69123296557907
Ly6a,394,1,3.68059826875519
S100a6,113,1,3.6384332709295
Stc2,535,1,3.57667694641177
AW112010,444,1,3.43404614598414
Krt18,20,1,3.35322231975023
Cd164,426,1,3.29894399839783
F3,295,1,3.21142388099559
Slc12a2,423,1,3.06959931911309
Cxcl15,943,1,2.83334722840107
Gsn,455,1,2.70616381254106
Cd24a,190,1,2.66497637987179
Krt8,60,1,2.55818321510557
Hp,698,1,2.44255986703204
Nupr1,287,1,2.36865432506113
Phyh,970,1,2.35061915031267
Ptn,530,1,2.3403983769009
Plac8,1092,1,2.32489905570305
Gipc2,1641,1,2.07358206765324
Tspan13,946,1,2.06073688396635
Dkkl1,1396,1,2.04317731292603
Tmem176a,679,1,2.02283110035207
Eno1,222,2,1.74227831212769
Npm1,103,2,1.72867678835615
Gm8203,199,2,1.72485915024364
Zmynd8,186,2,1.69652813736746
Mif,189,2,1.62585938213053
Hspd1,354,2,1.5751812542337
Gapdh,196,2,1.52116089802737
Ldha,246,2,1.51699306201895
Ran,208,2,1.51003655693874
Tubb5,157,2,1.46127914845207
Ybx1,156,2,1.44305040409096
Tmsb10,92,2,1.41230428452961
1500015O10Rik,366,2,1.39804370271987
Ncl,171,2,1.37747347378093
Slc25a5,145,2,1.35586894148094
Tuba1b,316,2,1.32278986320314
Hspe1,223,2,1.31585925599257
Pkm,209,2,1.27746237240747
Hmgn2,611,2,1.23594163090593
Mia,601,2,1.22502284156415
Eif5a,148,2,1.20277295972313
Pola2,709,2,1.18930309344225
Hnrnpa1,284,2,1.18713781157724
Hspa5,254,2,1.18496281412556
Erh,274,2,1.17600033931427
Rpl21,481,2,1.14845771693612
Gm15387,321,2,1.14334785537932
Rbp1,491,2,1.14201049383968
Serpine2,1017,2,1.10338995122959
Set,244,2,1.09336058901108
Rpl26,164,3,5.00110830356939
Wfdc18,85,3,4.57684925432143
Fos,197,3,2.45051107462574
Rpl35a,151,3,2.37062199981238
Rpl17-ps5,165,3,2.36384191086549
Jun,179,3,2.30795052222179
Rpl9-ps6,233,3,2.28888653844221
Crip1,229,3,2.24895234173214
Gm9846,45,3,2.15371432605664
Nfib,356,3,2.02970148737975
Tspan8,886,3,1.92341020649337
Rpl23a-ps3,101,3,1.85765698764917
Cldn3,459,3,1.73695122977108
Rps28,144,3,1.71261943725354
Hspa1a,565,3,1.68639924164491
Gm14303,123,3,1.68458464379855
Gm10443,136,3,1.66704900189282
Gm6136,442,3,1.66415233755151
Rpl37a,38,3,1.66366543867059
Gm2000,79,3,1.64668903025059
Gm11361,30,3,1.63272559080241
Rpl36,46,3,1.63236793458465
Rps16,86,3,1.58221792686702
2410006H16Rik,309,3,1.57319809181814
Ier2,412,3,1.55642928630306
Gas5,125,3,1.55345938628786
Rpl39,81,3,1.49765972288932
Rpl13,112,3,1.47274061012246
Egr1,735,3,1.47224275775126
Atp5g1,755,3,1.41670278219653
Trf,166,4,4.73289162979491
Vprbp,362,4,2.98987755889664
Csn2,636,4,2.83577076070143
Csn1s1,537,4,2.8130791789529
Spp1,260,4,2.59059413671037
Cebpb,128,4,2.40881002460069
Efhd2,286,4,2.36157555389305
Mt1,33,4,2.23057069733185
Mfge8,305,4,2.15287195348751
Clu,361,4,2.02664786945683
Cstb,192,4,2.0257688457045
C330013J21Rik,1136,4,1.92573533328133
Csn1s2a,638,4,1.86817043672778
B2m,193,4,1.83230426407796
Fcgbp,2208,4,1.78399435397287
Serinc3,672,4,1.73091248397083
Mgst1,296,4,1.68788819523064
Gm8355,126,4,1.57548455722267
Csf3,524,4,1.5344326371431
Zfp36l2,782,4,1.52585595433495
Scd1,1138,4,1.52216530830506
Cebpd,499,4,1.51581042055963
Rpl10-ps1,115,4,1.48717323797551
