Row,Gene_indx,Cluster,DE_Score
Bcl2l1,657,4,1.43927200641126
Sdc4,34,4,1.39396923148055
H2-K1,310,4,1.39119687859936
Wnt5b,1325,4,1.31335698265387
Rps19-ps6,150,4,1.30979063462896
Btn1a1,2917,4,1.30799159254996
Gm26809,114,4,1.30690147681475
Acta2,182,5,6.83380038914928
Tagln,428,5,5.05304764656578
Tpm2,411,5,4.6311176038977
Sparc,375,5,3.92031014226913
Myl9,1360,5,3.76467675801866
Krt14,194,5,3.71821718746877
Lgals1,584,5,3.5884160608272
Cnn1,1490,5,3.33941293413499
Krt17,187,5,3.26036552449562
Ifitm3,168,5,3.21388946234453
Apoe,137,5,3.04586523058747
Cald1,376,5,2.68197554516913
Cxcl1,247,5,2.56220214067966
Meg3,346,5,2.54555628172629
Cxcl14,371,5,2.53696686112948
Mylk,2283,5,2.52989648927778
Mt2,93,5,2.46938056696009
Tpm1,307,5,2.42946763303444
Actg2,3114,5,2.27059437357352
Sfn,163,5,2.21720342846179
Igfbp2,941,5,2.14009793389515
Myl6,160,5,2.12425426672497
H19,1323,5,2.09867246791842
Tsc22d1,434,5,2.06255106615312
Dstn,213,5,1.94427277298156
Vim,731,5,1.91424774548893
Lgals7,261,5,1.7871992242769
Myh11,3045,5,1.77847491793632
Fst,616,5,1.76931609858192
Cxcl2,488,5,1.76052107172654
Csn3,143,6,4.07006723972814
1600029D21Rik,129,6,3.60139881065847
Tm4sf1,140,6,3.04229351008185
Lgals3,203,6,2.97125591283783
Lcn2,134,6,2.84391447079118
Epcam,104,6,1.97364676491809
Anxa1,238,6,1.95585926898513
mt-Rnr2,24,6,1.79341538264306
Cst3,326,6,1.77324725821573
Basp1,367,6,1.7656873603153
Aldh1a3,1028,6,1.72185725098832
Neat1,77,6,1.71943081963312
Ppp1r2,575,6,1.69017865752417
Chi3l1,374,6,1.6872241542943
Ltf,1139,6,1.52887895938443
Cd14,1157,6,1.481126909822
Ctsl,269,6,1.38573930419373
Cyr61,402,6,1.368143839295
Tubb2a,473,6,1.3249861749807
Car2,2107,6,1.30090431906444
Ceacam1,2119,6,1.29066456001192
Tpt1,55,6,1.18737770125126
Lypd3,1272,6,1.15286212132747
Smox,1560,6,1.15221428502192
Rpl17,53,6,1.15165336951321
S100a16,503,6,1.1411297239336
Ahnak,619,6,1.10186147050134
Tbcc,1778,6,1.09059117175538
Rpl35a-ps2,174,6,1.05792419257901
Cldn7,501,6,1.01281795949832
