Row,Gene_indx,Cluster,DE_Score
Gpx3,135,1,6.58857524895204
Areg,206,1,5.35343555460709
Tmed3,235,1,4.64228342779629
Krt19,102,1,4.62012676292548
Ly6d,154,1,4.51071075821239
Wfdc2,224,1,4.41769073899498
Glul,311,1,3.89219356749093
Krt7,257,1,3.81011883592481
Prlr,395,1,3.69123296557907
Ly6a,394,1,3.68059826875519
S100a6,113,1,3.6384332709295
Stc2,535,1,3.57667694641177
AW112010,444,1,3.43404614598414
Krt18,20,1,3.35322231975023
Cd164,426,1,3.29894399839783
F3,295,1,3.21142388099559
Slc12a2,423,1,3.06959931911309
Cxcl15,943,1,2.83334722840107
Gsn,455,1,2.70616381254106
Cd24a,190,1,2.66497637987179
Krt8,60,1,2.55818321510557
Hp,698,1,2.44255986703204
Nupr1,287,1,2.36865432506113
Phyh,970,1,2.35061915031267
Ptn,530,1,2.3403983769009
Plac8,1092,1,2.32489905570305
Gipc2,1641,1,2.07358206765324
Tspan13,946,1,2.06073688396635
Dkkl1,1396,1,2.04317731292603
Tmem176a,679,1,2.02283110035207
Tgm2,1024,1,1.97448741478528
Cystm1,551,1,1.93857824239005
Gm15772,96,1,1.89541265276789
Rpsa-ps10,242,1,1.88362014047036
Bsg,212,1,1.87297006961617
Fuca1,1067,1,1.87039783071856
Aqp5,829,1,1.86473764030055
Ktn1,834,1,1.85059878060458
S100a11,131,1,1.79317885072533
Tmem176b,380,1,1.76083824043422
Cited1,974,1,1.74952489653081
Cldn4,341,1,1.71983870697315
Cd200,1216,1,1.71320825121958
Psmb8,1113,1,1.70671113124202
Gadd45g,862,1,1.69279479593648
H2-D1,158,1,1.68067851346616
Aoc1,1358,1,1.66445892950777
Cdo1,1639,1,1.63545568227282
Tspo,648,1,1.59990025903752
Hist1h2bc,1357,1,1.59209720826472
Hist1h1c,1349,1,1.57552402760638
Ly6e,355,1,1.55842386224938
Hist1h2al,1636,1,1.55335109258843
Tmem86a,2034,1,1.53380768508259
Abhd2,515,1,1.49635548140854
Ndufa7,417,1,1.46284304981644
4930523C07Rik,1359,1,1.46041813371532
Sgms2,1418,1,1.43699140585063
Nek7,1793,1,1.43575170011799
Malat1,1,1,1.41565232042726
Vmp1,764,1,1.41543215533973
Slc5a5,2329,1,1.41248816183145
Rnh1,541,1,1.40655064817927
4930562F07Rik,1540,1,1.40570215695332
Cd9,116,1,1.36435662177301
Gstp1,349,1,1.32839358679927
Ezr,608,1,1.3272786544088
Pdlim4,857,1,1.27254648816507
Ebp,1664,1,1.27135151002507
Mien1,962,1,1.265498738109
Rasd1,2349,1,1.26292431954433
Rac1,440,1,1.25359010982896
Gsr,1308,1,1.24762340128063
Acot1,1007,1,1.22960091952337
Lmo7,2051,1,1.22426629738943
Gm10039,323,1,1.2044642394492
Tmem56,2527,1,1.19887862566108
Cox8a,153,1,1.17957676052913
Dynlt1b,808,1,1.16751259939242
Fdx1,920,1,1.15653400441898
Emp1,784,1,1.14058104434932
Abcg1,2038,1,1.13854790252297
Prdx5,641,1,1.1197134360815
Krt6a,2071,1,1.1182814382572
R3hdml,2805,1,1.10237253483893
Gadd45a,991,1,1.09839983614101
mt-Co1,9,1,1.09070448039278
Fam25c,2361,1,1.08081493055714
Urah,914,1,1.05689542940161
S100a10,178,1,1.05537682885436
Plec,1152,1,1.04964064533004
Ptpn1,1182,1,1.04832805385033
Mlph,2633,1,1.04071431762354
Etfb,918,1,1.03835508730949
Mboat1,2175,1,1.02806445895646
Dap,1333,1,1.02554529972175
Tspan1,2130,1,1.02249625562531
Cox4i1,121,1,1.01863778508301
mt-Co2,43,1,1.01862965445287
Bdnf,2435,1,1.01016154211177
Eno1,222,2,1.74227831212769
Npm1,103,2,1.72867678835615
Gm8203,199,2,1.72485915024364
Zmynd8,186,2,1.69652813736746
Mif,189,2,1.62585938213053
Hspd1,354,2,1.5751812542337
Gapdh,196,2,1.52116089802737
Ldha,246,2,1.51699306201895
Ran,208,2,1.51003655693874
Tubb5,157,2,1.46127914845207
Ybx1,156,2,1.44305040409096
Tmsb10,92,2,1.41230428452961
